organizationId,organizationName,clinicName,mobile,mobileWithCode,email,address.countryId,address.country,address.state,address.city,address.pincode,address.addressLine1,address.addressLine2,address.addressType,isActive,isDeleted,createdAt,updatedAt,__v
69a6ab7f78007284396be982,DummyTestOrg,Test Clinic 1,9669407001,9.19669E+11,test1@codiotic.com,6878f552b7df743e0404717e,India,Madhya Pradesh,Indore,452016,Indore,Dewas,WORK,TRUE,FALSE,2026-03-03T09:56:40.304Z,2026-03-03T09:56:40.304Z,0
69a6ab7f78007284396be982,DummyTestOrg,Test Clinic 2,9669407002,9.19669E+11,test2@codiotic.com,6878f552b7df743e0404717e,India,Madhya Pradesh,Indore,452016,Indore,Dewas,WORK,TRUE,FALSE,2026-03-03T09:56:40.304Z,2026-03-03T09:56:40.304Z,0
69a6ab7f78007284396be982,DummyTestOrg,Test Clinic 3,9669407003,9.19669E+11,test3@codiotic.com,6878f552b7df743e0404717e,India,Madhya Pradesh,Indore,452016,Indore,Dewas,WORK,TRUE,FALSE,2026-03-03T09:56:40.304Z,2026-03-03T09:56:40.304Z,0
69a6ab7f78007284396be982,DummyTestOrg,Test Clinic 4,9669407004,9.19669E+11,test4@codiotic.com,6878f552b7df743e0404717e,India,Madhya Pradesh,Indore,452016,Indore,Dewas,WORK,TRUE,FALSE,2026-03-03T09:56:40.304Z,2026-03-03T09:56:40.304Z,0
69a6ab7f78007284396be982,DummyTestOrg,Test Clinic 5,9669407005,9.19669E+11,test5@codiotic.com,6878f552b7df743e0404717e,India,Madhya Pradesh,Indore,452016,Indore,Dewas,WORK,TRUE,FALSE,2026-03-03T09:56:40.304Z,2026-03-03T09:56:40.304Z,0
69a6ab7f78007284396be982,DummyTestOrg,Test Clinic 6,9669407006,9.19669E+11,test6@codiotic.com,6878f552b7df743e0404717e,India,Madhya Pradesh,Indore,452016,Indore,Dewas,WORK,TRUE,FALSE,2026-03-03T09:56:40.304Z,2026-03-03T09:56:40.304Z,0
69a6ab7f78007284396be982,DummyTestOrg,Test Clinic 7,9669407007,9.19669E+11,test7@codiotic.com,6878f552b7df743e0404717e,India,Madhya Pradesh,Indore,452016,Indore,Dewas,WORK,TRUE,FALSE,2026-03-03T09:56:40.304Z,2026-03-03T09:56:40.304Z,0
69a6ab7f78007284396be982,DummyTestOrg,Test Clinic 8,9669407008,9.19669E+11,test8@codiotic.com,6878f552b7df743e0404717e,India,Madhya Pradesh,Indore,452016,Indore,Dewas,WORK,TRUE,FALSE,2026-03-03T09:56:40.304Z,2026-03-03T09:56:40.304Z,0
69a6ab7f78007284396be982,DummyTestOrg,Test Clinic 9,9669407009,9.19669E+11,test9@codiotic.com,6878f552b7df743e0404717e,India,Madhya Pradesh,Indore,452016,Indore,Dewas,WORK,TRUE,FALSE,2026-03-03T09:56:40.304Z,2026-03-03T09:56:40.304Z,0
69a6ab7f78007284396be982,DummyTestOrg,Test Clinic 10,9669407010,9.19669E+11,test10@codiotic.com,6878f552b7df743e0404717e,India,Madhya Pradesh,Indore,452016,Indore,Dewas,WORK,TRUE,FALSE,2026-03-03T09:56:40.304Z,2026-03-03T09:56:40.304Z,0
